source,target,type
5988,152,directed
1248,1829,directed
7681,5651,directed
7135,6079,directed
6079,8513,directed
5501,3056,directed
3056,7097,directed
6074,4244,directed
4244,5201,directed
5201,3056,directed
3056,5097,directed
7293,7870,directed
7870,9134,directed
9134,8618,directed
1824,221,directed
7363,9050,directed
717,1829,directed
2106,920,directed
232,5186,directed
5609,2593,directed
6774,420,directed
420,8172,directed
457,2734,directed
5433,6111,directed
6111,3056,directed
3056,115,directed
5267,9369,directed
9549,4994,directed
4994,5742,directed
5742,8643,directed
8643,4401,directed
617,39,directed
39,7648,directed
8643,7299,directed
9549,6773,directed
6773,1401,directed
4211,5843,directed
5843,2856,directed
2856,7608,directed
7012,7629,directed
7629,7887,directed
1762,3056,directed
3056,4741,directed
4741,8520,directed
8520,5451,directed
7608,5056,directed
5056,3056,directed
3056,115,directed
7110,8514,directed
6704,6263,directed
3473,6617,directed
8328,5000,directed
5000,2734,directed
2734,1200,directed
1200,3443,directed
3443,8583,directed
9549,7822,directed
7822,9225,directed
9225,8242,directed
8242,5097,directed
5097,3056,directed
3056,4026,directed
4026,115,directed
5252,7771,directed
4099,2541,directed
2541,3056,directed
3056,8739,directed
8739,2454,directed
6189,3056,directed
3056,5655,directed
5655,6118,directed
101,9184,directed
9198,8429,directed
8429,3056,directed
3056,8717,directed
8717,5742,directed
6586,6035,directed
5000,8689,directed
9215,3056,directed
3056,2972,directed
8029,2541,directed
6397,3831,directed
6079,6077,directed
6077,8513,directed
6045,3985,directed
2559,8063,directed
8328,5892,directed
5892,4269,directed
4269,5822,directed
3421,4269,directed
4269,7187,directed
7187,8514,directed
8514,3985,directed
2856,6894,directed
6894,1448,directed
3621,7627,directed
7627,7905,directed
7905,6882,directed
6437,7110,directed
5959,3057,directed
3057,8402,directed
8402,523,directed
523,115,directed
1323,721,directed
721,3056,directed
3056,4741,directed
9154,4442,directed
4442,2415,directed
2415,6895,directed
6895,4341,directed
4341,1353,directed
1353,1257,directed
4480,7608,directed
8328,3114,directed
3114,7184,directed
7184,2816,directed
2816,7822,directed
7822,2404,directed
2733,4864,directed
6122,1913,directed
1913,4269,directed
5201,5942,directed
5942,7773,directed
7773,3985,directed
9549,2541,directed
2541,2201,directed
2201,9488,directed
9488,9636,directed
9636,172,directed
5262,1526,directed
1526,3056,directed
3056,7608,directed
1312,673,directed
8279,5674,directed
7755,4974,directed
4531,477,directed
477,4335,directed
4335,3070,directed
1317,7910,directed
9572,2463,directed
762,2099,directed
3621,826,directed
826,9516,directed
9516,5988,directed
7536,4269,directed
7800,6888,directed
6888,5807,directed
5807,1972,directed
5443,6705,directed
2270,4269,directed
4269,7905,directed
7905,8346,directed
8346,3017,directed
8345,9050,directed
9050,3056,directed
3056,7033,directed
8339,2044,directed
2044,1701,directed
2856,8727,directed
8727,12,directed
695,3056,directed
3056,7976,directed
7976,2816,directed
2816,7078,directed
1257,9170,directed
8492,5742,directed
1168,5352,directed
5352,5742,directed
9549,7890,directed
7890,457,directed
457,5742,directed
1128,8642,directed
8642,2270,directed
2270,8733,directed
8711,4984,directed
4984,5742,directed
5742,7905,directed
7905,5988,directed
4480,2415,directed
2415,8221,directed
8221,6617,directed
2415,8221,directed
8221,1526,directed
4531,4526,directed
4526,4029,directed
7240,8520,directed
8520,5518,directed
4201,8345,directed
3389,5178,directed
5178,8107,directed
4922,2171,directed
2171,6382,directed
6382,4127,directed
4127,8110,directed
8110,793,directed
793,5619,directed
8328,5000,directed
5000,3162,directed
3162,6514,directed
4788,706,directed
7844,4787,directed
4787,9523,directed
9523,7967,directed
7967,5550,directed
4531,2734,directed
3985,8787,directed
8787,8242,directed
8242,954,directed
954,1385,directed
1385,7608,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
5988,2593,directed
7033,5988,directed
5988,9391,directed
9391,5550,directed
7041,2589,directed
2589,7663,directed
6258,8711,directed
8711,2541,directed
2409,4613,directed
8328,74,directed
74,7806,directed
7806,7184,directed
6704,989,directed
989,3749,directed
7041,1913,directed
1913,4269,directed
8822,398,directed
398,2274,directed
2274,2241,directed
1134,7942,directed
7942,3056,directed
3056,115,directed
9516,7890,directed
7890,6773,directed
8328,826,directed
826,3909,directed
3909,4994,directed
4994,4269,directed
2560,2551,directed
2551,1119,directed
1119,5341,directed
9018,5902,directed
5352,2541,directed
1856,9050,directed
9050,6191,directed
5194,2281,directed
2856,2525,directed
2525,1263,directed
3854,2535,directed
2535,1939,directed
7110,8739,directed
3775,982,directed
982,420,directed
420,826,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
2454,7870,directed
7870,621,directed
621,3056,directed
3056,6680,directed
7890,3056,directed
3056,2454,directed
2454,4669,directed
4669,9428,directed
9428,3000,directed
7591,2856,directed
2856,7905,directed
7905,9017,directed
9017,3827,directed
6786,2216,directed
2216,5680,directed
5680,6434,directed
6434,4526,directed
8238,4362,directed
8328,7184,directed
7184,3114,directed
1676,5928,directed
5928,5746,directed
5746,8860,directed
2454,3199,directed
3199,826,directed
826,3061,directed
3061,1353,directed
1353,3057,directed
3057,1871,directed
429,5881,directed
9252,2856,directed
936,800,directed
800,3207,directed
6569,2582,directed
2582,8196,directed
5844,2235,directed
2235,6635,directed
7991,837,directed
5195,3415,directed
3415,9104,directed
9104,3061,directed
3061,3057,directed
3057,8625,directed
8625,837,directed
8962,6437,directed
6437,1116,directed
2415,9261,directed
6292,7184,directed
717,3353,directed
3854,2099,directed
6623,9303,directed
9303,8505,directed
3621,5341,directed
5341,4175,directed
3199,7110,directed
9590,8520,directed
8520,7462,directed
7462,3056,directed
3056,7905,directed
7905,2734,directed
7627,2973,directed
2973,6298,directed
7883,4401,directed
4401,1829,directed
420,2541,directed
7767,2141,directed
8328,5988,directed
5988,5742,directed
5742,4682,directed
289,1913,directed
1913,4269,directed
6857,1128,directed
1128,5130,directed
5130,8011,directed
8011,850,directed
850,9097,directed
9097,3057,directed
3057,8402,directed
8402,9058,directed
9058,3602,directed
3602,6434,directed
6434,1438,directed
540,3056,directed
3056,5674,directed
6617,942,directed
942,229,directed
5813,4011,directed
4011,520,directed
520,9502,directed
8011,8328,directed
8328,6181,directed
6181,6777,directed
6777,5341,directed
5341,6621,directed
6621,8172,directed
8172,795,directed
795,9516,directed
9516,1353,directed
1353,7230,directed
7230,7870,directed
7870,5637,directed
5637,9516,directed
9516,1353,directed
1353,2314,directed
2314,2746,directed
2746,9521,directed
9521,4709,directed
6437,7909,directed
7909,4526,directed
2856,1941,directed
1941,4450,directed
4450,1829,directed
8346,6106,directed
6106,2593,directed
2593,7135,directed
7135,3056,directed
3056,5679,directed
5679,2746,directed
2746,726,directed
726,1913,directed
1913,5867,directed
5867,3056,directed
3056,3854,directed
7194,4676,directed
4676,2901,directed
2901,5055,directed
4211,7512,directed
2856,2734,directed
2734,3840,directed
3840,3985,directed
3655,837,directed
4312,3056,directed
3056,9170,directed
2454,8717,directed
8717,7905,directed
7905,3922,directed
3922,7163,directed
289,7822,directed
9609,420,directed
420,837,directed
837,8514,directed
8514,420,directed
420,2541,directed
3245,7591,directed
7184,74,directed
74,5878,directed
8649,9573,directed
8711,2799,directed
2799,6434,directed
9252,4269,directed
5931,8096,directed
8096,1509,directed
1509,1913,directed
1913,7906,directed
7906,8011,directed
617,6249,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
4128,6894,directed
2343,4269,directed
5075,9198,directed
9198,8429,directed
2216,4526,directed
4526,5680,directed
9252,2343,directed
2541,1168,directed
1168,7890,directed
7890,7905,directed
7905,7890,directed
7890,1678,directed
1678,3521,directed
3521,6680,directed
8328,7890,directed
7890,4789,directed
4789,2044,directed
2044,3609,directed
3609,6894,directed
6858,5931,directed
5931,421,directed
2541,6483,directed
6483,3056,directed
3056,4235,directed
8328,3431,directed
3431,721,directed
721,2446,directed
7110,9572,directed
2422,6888,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
5942,5201,directed
3621,4427,directed
2541,7905,directed
7905,1678,directed
3313,3175,directed
3175,7980,directed
2541,7905,directed
7905,4072,directed
4072,4994,directed
4994,837,directed
548,7985,directed
7985,4269,directed
7222,4576,directed
4576,3056,directed
3056,5742,directed
7110,8514,directed
2905,4073,directed
4645,7165,directed
8341,2541,directed
2541,7905,directed
7905,3057,directed
3057,5689,directed
8328,5000,directed
5000,9144,directed
6507,2901,directed
2901,5222,directed
5222,6711,directed
6711,3189,directed
5355,663,directed
663,4991,directed
6760,6518,directed
420,826,directed
826,7905,directed
7905,8790,directed
2856,7822,directed
6416,837,directed
837,1403,directed
8328,5790,directed
5790,1953,directed
420,8172,directed
7625,837,directed
837,7854,directed
7854,2901,directed
2901,1829,directed
5433,6111,directed
6765,5352,directed
5352,5742,directed
377,7771,directed
8328,7184,directed
7184,4484,directed
3924,5506,directed
5506,2105,directed
2105,9097,directed
9097,5644,directed
